image_path,similar_images,label,features
data/uob_image_set/13507603/13507603_2.jpg,"['data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_3.jpg', 'data/uob_image_set/13507603/13507603_1.jpg']",13507603,"{'mean': 248.9790612193903, 'mode_red': 255, 'mode_green': 255, 'mode_blue': 255}"
data/uob_image_set/13507603/13507603_0.jpg,"['data/uob_image_set/13507603/13507603_2.jpg', 'data/uob_image_set/13507603/13507603_3.jpg', 'data/uob_image_set/13507603/13507603_1.jpg']",13507603,"{'mean': 248.6182156421789, 'mode_red': 255, 'mode_green': 255, 'mode_blue': 255}"
data/uob_image_set/13507603/13507603_1.jpg,"['data/uob_image_set/13507603/13507603_2.jpg', 'data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_3.jpg']",13507603,"{'mean': 250.314095952024, 'mode_red': 255, 'mode_green': 255, 'mode_blue': 255}"
data/uob_image_set/13507603/13507603_3.jpg,"['data/uob_image_set/13507603/13507603_2.jpg', 'data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_1.jpg']",13507603,"{'mean': 247.50753373313344, 'mode_red': 255, 'mode_green': 255, 'mode_blue': 255}"
data/uob_image_set/15669098/15669098_1.jpg,"['data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_0.jpg', 'data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_3.jpg']",15669098,"{'mean': 188.3092143928036, 'mode_red': 239, 'mode_green': 238, 'mode_blue': 238}"
data/uob_image_set/15669098/15669098_2.jpg,"['data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_0.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_3.jpg']",15669098,"{'mean': 144.25754422788606, 'mode_red': 248, 'mode_green': 246, 'mode_blue': 247}"
data/uob_image_set/15669098/15669098_3.jpg,"['data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_0.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_2.jpg']",15669098,"{'mean': 125.92635907046477, 'mode_red': 248, 'mode_green': 246, 'mode_blue': 247}"
data/uob_image_set/15669098/15669098_0.jpg,"['data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_3.jpg']",15669098,"{'mean': 87.7213295852074, 'mode_red': 255, 'mode_green': 255, 'mode_blue': 255}"
data/uob_image_set/15669098/15669098_4.jpg,"['data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_0.jpg', 'data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_3.jpg']",15669098,"{'mean': 29.19341379310345, 'mode_red': 34, 'mode_green': 35, 'mode_blue': 38}"
data/uob_image_set/15844271/15844271_2.jpg,"['data/uob_image_set/15844271/15844271_3.jpg', 'data/uob_image_set/15844271/15844271_1.jpg', 'data/uob_image_set/15844271/15844271_4.jpg', 'data/uob_image_set/15844271/15844271_0.jpg']",15844271,"{'mean': 195.6503188405797, 'mode_red': 236, 'mode_green': 235, 'mode_blue': 244}"
