image_path,similar_images,label
data/uob_image_set/13507603/13507603_2.jpg,"['data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_1.jpg', 'data/uob_image_set/13507603/13507603_3.jpg']",13507603
data/uob_image_set/13507603/13507603_0.jpg,"['data/uob_image_set/13507603/13507603_1.jpg', 'data/uob_image_set/13507603/13507603_2.jpg', 'data/uob_image_set/13507603/13507603_3.jpg']",13507603
data/uob_image_set/13507603/13507603_1.jpg,"['data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_2.jpg', 'data/uob_image_set/13507603/13507603_3.jpg']",13507603
data/uob_image_set/13507603/13507603_3.jpg,"['data/uob_image_set/13507603/13507603_0.jpg', 'data/uob_image_set/13507603/13507603_1.jpg', 'data/uob_image_set/13507603/13507603_2.jpg']",13507603
data/uob_image_set/15669098/15669098_1.jpg,"['data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_3.jpg', 'data/uob_image_set/15669098/15669098_0.jpg']",15669098
data/uob_image_set/15669098/15669098_2.jpg,"['data/uob_image_set/15669098/15669098_0.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_3.jpg', 'data/uob_image_set/15669098/15669098_1.jpg']",15669098
data/uob_image_set/15669098/15669098_3.jpg,"['data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_0.jpg']",15669098
data/uob_image_set/15669098/15669098_0.jpg,"['data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_4.jpg', 'data/uob_image_set/15669098/15669098_3.jpg', 'data/uob_image_set/15669098/15669098_1.jpg']",15669098
data/uob_image_set/15669098/15669098_4.jpg,"['data/uob_image_set/15669098/15669098_2.jpg', 'data/uob_image_set/15669098/15669098_1.jpg', 'data/uob_image_set/15669098/15669098_3.jpg', 'data/uob_image_set/15669098/15669098_0.jpg']",15669098
data/uob_image_set/15844271/15844271_2.jpg,"['data/uob_image_set/15844271/15844271_0.jpg', 'data/uob_image_set/15844271/15844271_1.jpg', 'data/uob_image_set/15844271/15844271_4.jpg', 'data/uob_image_set/15844271/15844271_3.jpg']",15844271
